second,Volt
-55.6000E-06,-2.032E+00
-55.5000E-06,-2.016E+00
-55.4000E-06,-1.970E+00
-55.3000E-06,-2.001E+00
-55.2000E-06,-2.001E+00
-55.1000E-06,-2.016E+00
-55.0000E-06,-1.970E+00
-54.9000E-06,-2.001E+00
-54.8000E-06,-2.032E+00
-54.7000E-06,-2.016E+00
-54.6000E-06,-2.001E+00
-54.5000E-06,-2.016E+00
-54.4000E-06,-2.016E+00
-54.3000E-06,-2.001E+00
-54.2000E-06,-2.032E+00
-54.1000E-06,-1.985E+00
-54.0000E-06,-2.001E+00
-53.9000E-06,-2.016E+00
-53.8000E-06,-2.001E+00
-53.7000E-06,-2.001E+00
-53.6000E-06,-2.001E+00
-53.5000E-06,-2.001E+00
-53.4000E-06,-1.985E+00
-53.3000E-06,-2.001E+00
-53.2000E-06,-2.016E+00
-53.1000E-06,-2.016E+00
-53.0000E-06,-2.032E+00
-52.9000E-06,-1.985E+00
-52.8000E-06,-1.985E+00
-52.7000E-06,-2.001E+00
-52.6000E-06,-1.985E+00
-52.5000E-06,-2.016E+00
-52.4000E-06,-2.016E+00
-52.3000E-06,-1.985E+00
-52.2000E-06,-2.016E+00
-52.1000E-06,-1.985E+00
-52.0000E-06,-2.016E+00
-51.9000E-06,-2.016E+00
-51.8000E-06,-2.016E+00
-51.7000E-06,-2.001E+00
-51.6000E-06,-2.001E+00
-51.5000E-06,-1.970E+00
-51.4000E-06,-2.001E+00
-51.3000E-06,-1.985E+00
-51.2000E-06,-2.016E+00
-51.1000E-06,-2.048E+00
-51.0000E-06,-2.016E+00
-50.9000E-06,-1.985E+00
-50.8000E-06,-2.001E+00
-50.7000E-06,-2.016E+00
-50.6000E-06,-2.001E+00
-50.5000E-06,-1.985E+00
-50.4000E-06,-1.985E+00
-50.3000E-06,-2.016E+00
-50.2000E-06,-2.001E+00
-50.1000E-06,-2.016E+00
-50.0000E-06,-2.016E+00
-49.9000E-06,-2.001E+00
-49.8000E-06,-1.985E+00
-49.7000E-06,-2.016E+00
-49.6000E-06,-2.001E+00
-49.5000E-06,-2.016E+00
-49.4000E-06,-1.985E+00
-49.3000E-06,-2.001E+00
-49.2000E-06,-2.001E+00
-49.1000E-06,-2.001E+00
-49.0000E-06,-1.985E+00
-48.9000E-06,-1.985E+00
-48.8000E-06,-2.016E+00
-48.7000E-06,-2.001E+00
-48.6000E-06,-2.001E+00
-48.5000E-06,-1.985E+00
-48.4000E-06,-2.063E+00
-48.3000E-06,-2.032E+00
-48.2000E-06,-2.001E+00
-48.1000E-06,-2.016E+00
-48.0000E-06,-2.001E+00
-47.9000E-06,-2.016E+00
-47.8000E-06,-2.016E+00
-47.7000E-06,-2.001E+00
-47.6000E-06,-1.970E+00
-47.5000E-06,-2.001E+00
-47.4000E-06,-2.001E+00
-47.3000E-06,-2.001E+00
-47.2000E-06,-2.016E+00
-47.1000E-06,-1.985E+00
-47.0000E-06,-2.016E+00
-46.9000E-06,-1.954E+00
-46.8000E-06,-2.001E+00
-46.7000E-06,-2.001E+00
-46.6000E-06,-2.032E+00
-46.5000E-06,-1.970E+00
-46.4000E-06,-2.016E+00
-46.3000E-06,-2.048E+00
-46.2000E-06,-2.016E+00
-46.1000E-06,-1.985E+00
-46.0000E-06,-2.016E+00
-45.9000E-06,-2.016E+00
-45.8000E-06,-1.985E+00
-45.7000E-06,-1.954E+00
-45.6000E-06,-2.016E+00
-45.5000E-06,-2.048E+00
-45.4000E-06,-2.001E+00
-45.3000E-06,-1.985E+00
-45.2000E-06,-2.001E+00
-45.1000E-06,-2.001E+00
-45.0000E-06,-2.001E+00
-44.9000E-06,-2.001E+00
-44.8000E-06,-2.001E+00
-44.7000E-06,-2.001E+00
-44.6000E-06,-2.048E+00
-44.5000E-06,-1.985E+00
-44.4000E-06,-1.923E+00
-44.3000E-06,-1.954E+00
-44.2000E-06,-1.970E+00
-44.1000E-06,-1.985E+00
-44.0000E-06,-1.954E+00
-43.9000E-06,-2.016E+00
-43.8000E-06,-1.985E+00
-43.7000E-06,-2.016E+00
-43.6000E-06,-1.985E+00
-43.5000E-06,-2.001E+00
-43.4000E-06,-1.985E+00
-43.3000E-06,-2.001E+00
-43.2000E-06,-2.001E+00
-43.1000E-06,-2.016E+00
-43.0000E-06,-2.001E+00
-42.9000E-06,-2.001E+00
-42.8000E-06,-2.048E+00
-42.7000E-06,-1.985E+00
-42.6000E-06,-1.985E+00
-42.5000E-06,-1.985E+00
-42.4000E-06,-2.001E+00
-42.3000E-06,-2.001E+00
-42.2000E-06,-1.985E+00
-42.1000E-06,-1.985E+00
-42.0000E-06,-2.001E+00
-41.9000E-06,-1.970E+00
-41.8000E-06,-2.016E+00
-41.7000E-06,-2.001E+00
-41.6000E-06,-1.970E+00
-41.5000E-06,-2.016E+00
-41.4000E-06,-2.001E+00
-41.3000E-06,-2.016E+00
-41.2000E-06,-1.985E+00
-41.1000E-06,-2.001E+00
-41.0000E-06,-2.001E+00
-40.9000E-06,-1.985E+00
-40.8000E-06,-1.970E+00
-40.7000E-06,-2.016E+00
-40.6000E-06,-2.001E+00
-40.5000E-06,-1.985E+00
-40.4000E-06,-2.001E+00
-40.3000E-06,-1.985E+00
